NOME_MUNICIPIO,UF,Valor_Medio_Pago,Etiqueta_Classificacao
SAO GERALDO DO ARAGUAIA,PA,694.2997481108313,Alto Repasse
AGUA COMPRIDA,MG,718.9104477611941,Alto Repasse
ALMAS,TO,681.6092475067996,Alto Repasse
CACHOEIRA DE PAJEU,MG,641.4508021390375,Baixo Repasse
IRAPUA,SP,689.9047619047619,Alto Repasse
JOAO CAMARA,RN,684.2507946117754,Alto Repasse
BARRA DO TURVO,SP,685.8697872340425,Alto Repasse
ANTONIO PRADO DE MINAS,MG,620.28,Baixo Repasse
VALE REAL,RS,700.2028985507246,Alto Repasse
BOA HORA,PI,680.8742718446601,Alto Repasse
PALMOPOLIS,MG,640.3530465949821,Baixo Repasse
GOVERNADOR NUNES FREIRE,MA,709.5637792019847,Alto Repasse
LAGOINHA DO PIAUI,PI,684.5131147540984,Alto Repasse
GUIRICEMA,MG,629.1824817518249,Baixo Repasse
SAO JOSE DA LAPA,MG,638.9251123315028,Baixo Repasse
FARTURA DO PIAUI,PI,691.4507299270073,Alto Repasse
MUCAJAI,RR,703.3151502237375,Alto Repasse
RIO DOS BOIS,TO,694.0168067226891,Alto Repasse
DOM MACEDO COSTA,BA,633.728813559322,Baixo Repasse
MANCIO LIMA,AC,731.7308636465075,Alto Repasse
RIO FORMOSO,PE,680.0125,Alto Repasse
ARIRANHA DO IVAI,PR,612.1470588235294,Baixo Repasse
SANTO ANTONIO DO MONTE,MG,640.1315789473684,Baixo Repasse
FRAIBURGO,SC,638.5366132723112,Baixo Repasse
CANUTAMA,AM,709.4609030837005,Alto Repasse
MATA DE SAO JOAO,BA,648.8101185970224,Baixo Repasse
ACARI,RN,635.0677165354331,Baixo Repasse
ILHA GRANDE,PI,687.0868932038835,Alto Repasse
COCAL,PI,686.164635193133,Alto Repasse
PASSA TEMPO,MG,600.6340579710145,Baixo Repasse
SAO THOME DAS LETRAS,MG,635.0952380952381,Baixo Repasse
BREJO DO CRUZ,PB,649.079579085827,Baixo Repasse
UNIAO DE MINAS,MG,644.7202970297029,Baixo Repasse
ANAJAS,PA,813.232159264931,Alto Repasse
CARBONITA,MG,633.8393839383939,Baixo Repasse
ITIRAPINA,SP,642.0150637311704,Baixo Repasse
ENTRE-IJUIS,RS,695.5656565656566,Alto Repasse
CAMPO GRANDE (EX-AUGUSTO SEVERO),RN,644.6800274066461,Baixo Repasse
AMARALINA,GO,628.7289972899729,Baixo Repasse
LEOPOLDINA,MG,650.176212741087,Baixo Repasse
BEZERROS,PE,645.496008444943,Baixo Repasse
FEIRA GRANDE,AL,685.8126133387065,Alto Repasse
MANAUS,AM,689.9359558215718,Alto Repasse
PRESIDENTE FIGUEIREDO,AM,709.4900390625,Alto Repasse
JENIPAPO DOS VIEIRAS,MA,807.4388906804256,Alto Repasse
NOVAIS,SP,681.3980891719746,Alto Repasse
MAQUINE,RS,706.0186125211505,Alto Repasse
PONTA DE PEDRAS,PA,699.8724202626641,Alto Repasse
BENJAMIN CONSTANT,AM,829.9625085207907,Alto Repasse
IRACEMA DO OESTE,PR,571.7433628318585,Baixo Repasse
SERICITA,MG,686.7217553688142,Alto Repasse
MUNDO NOVO,BA,649.4721015122544,Baixo Repasse
SAO JOSE DOS BASILIOS,MA,704.991452991453,Alto Repasse
BERNARDO DO MEARIM,MA,681.6272365805169,Alto Repasse
ALTAMIRA DO PARANA,PR,642.8444444444444,Baixo Repasse
SANTA BRIGIDA,BA,685.171523178808,Alto Repasse
